year,office,district,votefor,candidate,party,candidateid,votes,type,winner
2018,US SENATOR, ,1,CARROLL MCALLISTER, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,MICHAEL MASHIA, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,HILLARY CLINTON, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,HILARY CLINTON, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,HILARY CLINTON, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,KEN COPP, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,ERNEST THURSTON, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,JOHN HALL, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,KITTY TOLL, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,MERLE HASKINS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,EATEN, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,BILL SPACEMAN LEE, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,BOB DYLAN, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,BRITTANY MOORE, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,DAVE LAMODA, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,HEATHER TRUAX, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,HILLARY CLINTON, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,JOE FALVEY, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,LEE FREEMAN, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,LOUIS MEYERS, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,MATT BROWN, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,RAY PECOR, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,SUZANNE CURTIS, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,TED CASTLE, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,TYLER BARRES, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,KEITH STERN, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,BERNIE SANDERS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,SANDERS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,JAY CUMMINGS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,JOSEPH PANN, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,RANDY BROCK, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,TIM GIRARD, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,TODD RUTTURA, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,BERNIE SANDERS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,JOE DAIGNEAULT, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,CHARLES B. HOWE, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,SHAPLEIGH SMITH JR., ,,1,Write-in,FALSE
2018,US SENATOR, ,1,PETER TRIPP, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,BILL LEE, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,JIM DOUGLAS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,MATT IDOL, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,BRENT BECK, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,RON PAUL, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,ETHAN MACNAUGHTON, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,MIKE KELL, ,,2,Write-in,FALSE
2018,US SENATOR, ,1,WAYNE TOWNSEND, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,BRYAN BAILEY, ,,0,Write-in,FALSE
2018,US SENATOR, ,1,COLIN MCKAIG, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,TYLER COLFORD, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,SUSAN HATCH DAVIS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,BERNIE SANDERS, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,CHRIS ERICKSON, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,ERIC SALTONSTALL, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,LAWRENCE, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,PAT BUCHANAN, ,,1,Write-in,FALSE
2018,US SENATOR, ,1,JOHN GALT, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,CRIS ERICSON,INDEPENDENT,,9084,Registered,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,LAURA S. POTTER,LIBERTY UNION,,3912,Registered,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ANYA TYNIO,REPUBLICAN,,70698,Registered,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,PETER WELCH,DEMOCRATIC,,188505,Registered,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BILLY KEATON, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BOB NELSON, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,CHRIS BRADLEY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,TOM LAUZON, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BRIAN CAMPION, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DAN FREILICH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KIAH MORRIS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,H BROOKE PAIGE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,MIKE ENMAN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BEN WRIGHT, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,WAYNE ESTEY, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,TRAVIS MOULTON, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,SHAWN EVEHART, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DOUG RACINE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,AMY BROSIUS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,RODNEY GRAHAM, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JACK WILLIAMS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JAMES DEROSIA, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,PHIL LOVELY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ANYA TYNIO, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,RANDY BROCK, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BRIAN DUBIE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,LISA LARIVEE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,TOM HILL, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,TED BRADY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ALEXANDRIA FERLAND, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BRENDA MENARD, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ROGER GOODRICH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,MORGAN GILMORE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ZICO BROWN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JIM MCNEIL, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KIM SEOKJIN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ETHAN SOHNEBORN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,LEROY BROWN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DANIEL FREILICH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,ALMA ROYSTAN, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JOHN MACINTYRE, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DEVIN SMITH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,MEGAN RILEY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JULIANE KILBURN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KIM FRIED, ,,2,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,CRAIG KIENY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KANYE WEST, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,SEAN RYAN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,LINDA JOY SULLIVAN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,MORRISEY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,LYNN RUSSELL, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,EDWIN ROYCE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BRUCE BUSA, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BLANK, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BOB NORRIS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JAMES EHLERS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,, ,,1,Registered,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JACK CLARK, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,SANDY EL HAGE, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DAVID DURFEE, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,SCOTT COULTER, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,GIBBS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BOB WEIR, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DAVID CAIN, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KEVIN DONAHUE, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,MIKE BROW, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,TOM O'KEEFE, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,KEITH STERN, ,,0,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BLANK, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,RANDY BROCK, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,RANDY SWANN, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,TODD RUTTURA, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,BILL HUFF, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JOHN FRIETAG, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DAN FREILICH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,SHELDON FOLEY, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,JIM DOUGLAS, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DANIEL FRELICH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,MIKE KELL, ,,3,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,SUSAN SMITH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DANIEL FRELICH, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,DON TURNER, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,PHIL SCOTT, ,,1,Write-in,FALSE
2018,REPRESENTATIVE TO CONGRESS, ,1,HAL COLSTON, ,,4,Write-in,FALSE
2018,GOVERNOR, ,1,TREVOR BARLOW,INDEPENDENT,,3259,Registered,FALSE
2018,GOVERNOR, ,1,CRIS ERICSON,INDEPENDENT,,2123,Registered,FALSE
2018,GOVERNOR, ,1,CHRISTINE HALLQUIST,DEMOCRATIC,,110306,Registered,FALSE
2018,GOVERNOR, ,1,CHARLES LARAMIE,INDEPENDENT,,2285,Registered,FALSE
2018,GOVERNOR, ,1,STEPHEN MARX,EARTH RIGHTS,,1850,Registered,FALSE
2018,GOVERNOR, ,1,"EMILY ""EM"" PEYTON",LIBERTY UNION,,1835,Registered,FALSE
2018,GOVERNOR, ,1,PHIL SCOTT,REPUBLICAN,,151212,Registered,FALSE
2018,GOVERNOR, ,1,BERNARD PETERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,COKL, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES E ALLEN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEVIN HEWES, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEARNS, ,,5,Write-in,FALSE
2018,GOVERNOR, ,1,PAUL PIKNA, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,, ,,0,Registered,FALSE
2018,GOVERNOR, ,1,JOHN ROGERS, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,K. STERN, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,ANDY AVERY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ANTHONY WILLIAMS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,B. ROGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DANIEL WILLENBURG, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DEBRA GABLE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ED PATTERSON, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES ELHERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JASON FLEURY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN ROGERS, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERNS, ,,7,Write-in,FALSE
2018,GOVERNOR, ,1,KEVIN CONTI, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KYLE FLEURY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,MIA DOLAN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,PAUL BEEDE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,RANDY BROCK, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,TARL WARWICK, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES EHLERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,THOMAS LOWELL, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ALAN EDWARDS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ANDREW STEIN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,BRENDA EIGEL, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DAN BURKE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DON TURNER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES EHLERS, ,,4,Write-in,FALSE
2018,GOVERNOR, ,1,JIM DOUGLAS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,4,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,4,Write-in,FALSE
2018,GOVERNOR, ,1,KEN STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KIAH MORRIS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,MAX MISCH, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,MICHAEL STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,MIKE STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ROBERT WRIGHT, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,MIKE ELLIS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DON TURNER , ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,GARY BROWN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,PHILLIP SNYDER, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,CHARLIE BURBANK, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,CHRIS BRADLEY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DAVID ZUCKERMAN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,H BROOKE PAIGE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JIM DOUGLAS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEIN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,PHIL SCOTT, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,SCOTT MILNE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,ALYCE AYER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,LEAHY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,STEVE DIGLIO, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES EHLERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ROBERTA J. MAUNDER WELCH, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,JOE WEST, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,SUE MINTER, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,BILL LEE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ETHAN SONNENBORG, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,H BROOKE PAGE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERNS, ,,7,Write-in,FALSE
2018,GOVERNOR, ,1,DAVID ZUCKERMAN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DON TURNER JR, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ETHAN SANBORN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,GEORGE CROWE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEARN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,RICK E, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,TJ DONNOVAN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,JANSSER WILLHOIT, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,ANYA TYNIO, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN WAYNE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,RICHARD LAWRENCE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,DOUG RACINE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,SAM LINCOLN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEARNS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ANYA TYNIO, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ETHAN SONNEBORN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JIM DOUGLAS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,TARA WARE\WICK, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JIM MALLOY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JIM STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,MIKE HUNT, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,JOSEPH BARNEY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KATHY PELLETT, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,SCOTT FRYE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,SUE MINTER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,BENJI BONNILA, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,BRIAN COLLAMORE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,HARRY BROWN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,PEG FLORY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,WILLIE CLARK, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,ZUPAN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,ISSAID NOJA, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEM, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,GLEN LOWER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,PHIL SCOTT, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES EHLERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,PAUL ROGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN ROGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERNS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,TARL WARWICK, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERNS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DAVID ZUCKERMAN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN ROGERS, ,,7,Write-in,FALSE
2018,GOVERNOR, ,1,MASON JUDD, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,PAT WRIGHT, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH ELLIS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,TARL WARWICK, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DAVID ZUCKERMAN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,HOLLI DESO, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,RANDY BROCK, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN ROGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEARNS, ,,7,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOE PIKE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STEARNS, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,CHRIS GRIFFIN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,FARMER DAVE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES EHLERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JAMES EHLERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,WILLIAM REEN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DON TURNER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,5,Write-in,FALSE
2018,GOVERNOR, ,1,DON TURNER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,KEVIN CARVEY, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,LUELLAN HUGHS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,MARK IRISH, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,PHIL SCOTT, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JIM CURRIER, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,PETER SHUMLIN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DAVID ZUKERMAN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN RODGERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KIAH MORRIS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,ETHAN ALLEN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,BERNIE SANDERS, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,BILL LEE, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,GARY BARRETT, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,JOHN S ROGERS, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,2,Write-in,FALSE
2018,GOVERNOR, ,1,, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,, ,,0,Write-in,FALSE
2018,GOVERNOR, ,1,CHRISTINE MCLAUGHLIN, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,DAN SMITH, ,,1,Write-in,FALSE
2018,GOVERNOR, ,1,KEITH STERN, ,,3,Write-in,FALSE
2018,GOVERNOR, ,1,BLAKE MASHTEARE, ,,1,Write-in,FALSE
